0.236679 , -2.84756
3.18804 , -2.88374
0.255751 , -1.83583
3.19975 , -1.91645
0,0
5.99647 , -2.91924
6.01711 , -1.57395
5.71691 , -1.58365
5.7199 , -0.949887
3.63363 , -0.839964
3.58839 , -2.85228
0,0
6.48253 , -2.8993
6.86081 , -3.00116
6.79476 , -3.36777
8.72292 , -3.66597
8.79633 , -3.25491
9.99598 , -3.46072
10.1953 , -2.11627
6.5172 , -1.60967
0,0
13.432 , -3.77715
13.5059 , -3.26603
10.5134 , -2.85162
10.4467 , -3.36278
0,0
13.8452 , -4.04596
16.4875 , -4.45871
16.716 , -2.99209
14.0593 , -2.59039
0,0
15.6546 , -2.26435
16.2473 , -2.3561
16.7242 , 1.78901
16.1315 , 1.88076
0,0
16.1262 , 2.26994
16.7761 , 2.18904
17.0263 , 3.71116
16.1693 , 3.83751
0,0
18.0906 , 6.63041
17.7289 , 4.17483
14.9722 , 4.57701
15.2984 , 7.06611
0,0
12.5785 , 6.1672
14.9996 , 5.84444
15.1907 , 6.95543
13.6907 , 7.12929
13.7569 , 7.52926
12.7213 , 7.65646
0,0
